一元复始开新局 万象更新启华章
春回大地千山秀 福降人间万户欢
龙腾瑞气昭兴盛 凤舞祥云兆吉祥
爆竹声中辞旧岁 梅花香里迎新春
天增岁月人增寿 春满乾坤福满门
门迎晓日财源广 户纳春风吉庆多
福星高照全家福 春光耀辉满堂春
盛世和谐添锦绣 神州鼎盛展宏图
红梅傲雪开新宇 绿柳迎春绘锦图
吉气盈门招百福 祥光满户纳千祥
龙腾四海呈祥瑞 虎跃三山显威风
春风送暖花千树 旭日东升福万家
岁通盛世家家富 人遇年华个个欢
春满神州千里秀 福临大地万家欢
宏图大展前程远 伟业腾飞事业兴
喜居宝地千年旺 福照家门万事兴
松竹梅岁寒三友 桃李杏春风一家
和顺一门有百福 平安二字值千金
紫气东来迎新岁 红梅怒放庆新春
德门吉庆添福寿 仁里祥和纳吉祥
龙衔瑞气临门第 凤吐祥云绕画堂
春回小院庭生暖 福降人间户有余
生意兴隆通四海 财源广进达三江
开业宏图昭日月 经营大业耀乾坤
货如轮转财源广 客似云来生意兴
诚信经营通四海 公平交易达三江
宏图大展兴隆宅 伟业腾飞昌盛家
财源滚滚随春到 喜气洋洋伴福来
骏业肇兴鸿图展 商道酬信财源广
开门迎得八方客 举步招来四海财
乔迁喜居吉祥地 安居乐享幸福天
新居焕彩迎福至 华堂生辉纳祥来
福地呈祥迁新居 宏图大展住高楼
迁宅吉祥添福寿 安居如意增康宁
新宅落成增瑞气 阖家欢乐添吉祥
春风送暖入新居 福气临门进华堂
莺迁乔木迎新宅 燕入高楼贺新居
居卜风和仁里乐 宅迁景丽福门兴
婚嫁百年歌好合 姻缘千里缔良辰
同心永结家业旺 白首齐眉幸福长
佳偶天成连理树 良缘地配并蒂花
喜结良缘成眷属 欣逢佳偶共此生
花好月圆人配对 珠联璧合喜成双
郎才女貌姻缘美 璧合珠联岁月甜
情深意重结连理 地久天长共枕眠
百年佳偶今朝合 一世良缘此日成
学业有成登金榜 才华出众耀门庭
寒窗苦读终有报 金榜题名耀祖光
书山有路勤为径 学海无涯苦作舟
胸怀壮志凌云霄 笔底生花绘锦绣
少年不负凌云志 金榜题名展宏图
勤学苦思增学识 笃行实干创辉煌
才高八斗登科第 学富五车跃龙门
寒窗十载磨一剑 金榜题名耀九州
福满人间添寿喜 春回大地增康宁
身康体健全家福 家和业兴万事顺
康宁福寿皆如意 富贵荣华总称心
岁岁平安添福寿 年年如意增吉祥
健康如意春常在 福寿吉祥乐无边
福伴安康添岁月 喜随吉祥度春秋
龙年大吉行好运 新春如意纳吉祥
龙腾盛世开新局 春满神州展宏图
龙跃青云呈瑞气 春回大地启祥年
金龙献瑞家家福 紫燕迎春处处新
龙行天下开鸿运 春满人间庆太平
灵龙送福添吉庆 瑞气临门纳安康
金龙起舞迎新岁 喜鹊登梅报好音
龙腾虎跃开新宇 鸟语花香庆丰年
田园风光无限好 农家岁月格外甜
春播一粒千钟粟 秋收万颗满仓金
风调雨顺年成好 谷丰粮茂家境兴
勤耕细作丰收岁 节俭持家富裕年
稻菽千重翻金浪 瓜果飘香庆丰年
绿水青山皆画卷 田园沃野尽诗篇
渔舟唱晚丰收乐 稻浪翻滚庆年丰
春满田园花似锦 福临农家喜盈门
教坛耕耘育桃李 学海扬帆渡英才
三尺讲台传道义 一支粉笔写春秋
春风化雨润桃李 厚德载物育英才
杏坛溢彩培新秀 教苑飘香育栋梁
呕心沥血培桃李 博学笃行育良才
师恩浩荡如春雨 教泽绵长似暖流
艺苑百花齐绽放 文坛万象共繁荣
笔走龙蛇书锦绣 墨挥春秋绘华章
琴棋书画添雅趣 诗词歌赋增情怀
丹青妙笔描盛世 翰墨书香颂华章
艺海扬帆寻雅趣 文坛逐梦谱新篇
妙手丹青绘美景 清音雅乐颂太平
国泰民安逢盛世 风调雨顺庆丰年
神州大地繁花艳 华夏山河瑞气盈
万里河山披锦绣 千秋伟业铸辉煌
民族团结兴伟业 国家昌盛展宏图
盛世欢歌歌国泰 新春吉语语民安
锦绣中华逢盛世 和谐社会沐春晖
山河壮丽迎新岁 岁月峥嵘展宏图
一元复始春风暖 万象更新国运昌
庭院生辉迎贵客 华堂焕彩接佳宾
客至家门皆笑脸 友来堂上尽欢声
以诚相待交挚友 凭信立身结善缘
一杯清茗酬佳客 满面春风迎贵人
